name,clean_mode,fit_count,status,weight_mode,test_mra_percent,train_mra_percent,test_p75_count,test_benefit,test_tie,test_harm,test_switch_delta_sum,threshold,far_guard_proxy,far_guard_threshold
switch_relevant:random_forest_delta:delta_quality,switch_relevant,509,ok,delta_quality,32.18826405867971,31.983218916857364,227,56,79,92,3.4999999999999987,0.0326290126678105,,
switch_relevant:random_forest_delta:far_guard:delta_quality,switch_relevant,509,ok,delta_quality,32.18826405867971,32.013729977116704,227,56,79,92,3.4999999999999987,0.0326290126678105,p75,3.0
drop_far_proxy:lgbm_delta:far_guard:delta_quality,drop_far_proxy,1297,ok,delta_quality,32.18826405867971,32.23493516399695,137,38,43,56,3.4999999999999987,0.0434293694447438,p90,2.5
non_tie_quality_strict:xgb_delta:quality,non_tie_quality_strict,185,ok,quality,32.18826405867971,31.670480549199088,103,30,31,42,3.4999999999999982,0.0471741269472279,,
non_tie_quality_strict:xgb_delta:far_guard:quality,non_tie_quality_strict,185,ok,quality,32.18826405867971,31.670480549199088,103,30,31,42,3.4999999999999982,0.0471741269472279,,
none:gbrt_delta:far_guard,none,1311,ok,delta,32.17603911980441,32.257818459191455,195,47,69,79,3.4,0.02356917165973242,p75,2.5
non_tie_quality_loose:ridge_delta:far_guard:delta_quality,non_tie_quality_loose,271,ok,delta_quality,32.1760391198044,31.06788710907705,85,27,30,28,3.3999999999999995,0.2365861659011463,p75,3.0
none:gbrt_delta,none,1311,ok,delta,32.163814180929094,32.22730739893211,198,47,71,80,3.3000000000000003,0.02356917165973242,,
quality_strict:lgbm_delta:delta_quality,quality_strict,390,ok,delta_quality,32.163814180929094,31.441647597254008,88,26,29,33,3.3000000000000007,0.10902188460161655,,
quality_strict:lgbm_delta:quality,quality_strict,390,ok,quality,32.163814180929094,31.73150266971777,92,29,25,38,3.2999999999999994,0.011946708601046277,,
quality_strict:lgbm_delta:far_guard:delta_quality,quality_strict,390,ok,delta_quality,32.163814180929094,31.441647597254008,88,26,29,33,3.3000000000000007,0.10902188460161655,,
quality_strict:lgbm_delta:far_guard:quality,quality_strict,390,ok,quality,32.163814180929094,31.73150266971777,92,29,25,38,3.2999999999999994,0.011946708601046277,,
none:random_forest_delta:delta_quality,none,1311,ok,delta_quality,32.15158924205379,32.196796338672776,204,52,67,85,3.2000000000000006,0.006029530240874296,,
none:random_forest_delta:far_guard:delta_quality,none,1311,ok,delta_quality,32.15158924205379,32.196796338672776,204,52,67,85,3.2000000000000006,0.006029530240874298,,
non_tie:decision_tree_delta_d2:far_guard:delta_quality,non_tie,509,ok,delta_quality,32.15158924205379,31.006864988558352,176,48,54,74,3.199999999999998,0.10338827874495034,p90,2.5
switch_relevant:decision_tree_delta_d2:far_guard:delta_quality,switch_relevant,509,ok,delta_quality,32.15158924205379,31.006864988558352,176,48,54,74,3.199999999999998,0.10338827874495034,p90,2.5
quality_loose:ridge_delta:far_guard:quality,quality_loose,593,ok,quality,32.15158924205379,30.945842868039662,122,37,47,38,3.1999999999999993,0.03436427299172849,p75,2.5
quality_loose:logistic_switch:quality,quality_loose,593,ok,quality,32.15158924205379,30.816170861937454,116,40,25,51,3.1999999999999997,0.5882555438380704,,
drop_far_proxy:lgbm_delta:quality,drop_far_proxy,1297,ok,quality,32.13936430317848,32.311212814645316,230,57,82,91,3.100000000000001,-0.020538023522961888,,
none:random_forest_delta:quality,none,1311,ok,quality,32.12713936430318,31.96796338672769,192,53,56,83,3.0000000000000013,-0.029503732381948266,,
none:random_forest_delta:far_guard:quality,none,1311,ok,quality,32.12713936430318,31.96796338672769,192,53,56,83,3.0000000000000013,-0.029503732381948262,,
non_tie:xgb_delta:quality,non_tie,509,ok,quality,32.12713936430318,32.19679633867277,150,44,42,64,2.999999999999998,0.013281369051318317,,
non_tie:xgb_delta:far_guard:quality,non_tie,509,ok,quality,32.12713936430318,32.22730739893211,150,44,42,64,2.999999999999998,0.013281369051318317,p75,2.5
switch_relevant:xgb_delta:quality,switch_relevant,509,ok,quality,32.12713936430318,32.19679633867277,150,44,42,64,2.999999999999998,0.013281369051318317,,
switch_relevant:xgb_delta:far_guard:quality,switch_relevant,509,ok,quality,32.12713936430318,32.22730739893211,150,44,42,64,2.999999999999998,0.013281369051318317,p75,2.5
non_tie_quality_loose:ridge_delta:far_guard,non_tie_quality_loose,271,ok,delta,32.12713936430318,31.006864988558352,238,64,89,85,2.999999999999999,0.029691614400732997,p75,2.0
non_tie_quality_loose:gbrt_delta:quality,non_tie_quality_loose,271,ok,quality,32.12713936430318,32.059496567505725,115,34,35,46,2.9999999999999996,0.03506372230827781,,
non_tie_quality_loose:gbrt_delta:far_guard:quality,non_tie_quality_loose,271,ok,quality,32.12713936430318,32.09000762776507,115,34,35,46,2.9999999999999996,0.03506372230827781,p75,2.5
none:ridge_delta:far_guard:delta_quality,none,1311,ok,delta_quality,32.127139364303176,31.449275362318847,168,43,64,61,2.9999999999999996,0.09013038332654962,median,2.0
drop_far_proxy:decision_tree_delta_d2,drop_far_proxy,1297,ok,delta,32.127139364303176,30.808543096872615,139,35,52,52,2.9999999999999982,0.035145384003058826,,
