cleaner,drop_q,fit_count,weight,model,threshold,train_mra,test_mra,p75,benefit,tie,harm,delta_sum
geom,0.0,1311,clean,rf,-0.03332172511458672,32.04424103737605,32.090464547677264,207,54,64,89,2.6999999999999993
geom,0.1,1180,clean,dt2,-0.014425884512681064,30.72463768115942,32.090464547677264,144,40,43,61,2.6999999999999984
geom,0.2,1049,clean,dt2,-0.015222391384705847,30.72463768115942,32.090464547677264,144,40,43,61,2.6999999999999984
geom,0.4,787,clean,dt2,-0.014662095794441292,30.72463768115942,32.090464547677264,144,40,43,61,2.6999999999999984
recall,0.0,1311,clean,dt2,-0.014283544347071776,30.72463768115942,32.090464547677264,144,40,43,61,2.6999999999999984
recall,0.1,1180,clean,dt2,-0.015188947893255863,30.72463768115942,32.090464547677264,144,40,43,61,2.6999999999999984
recall,0.2,1049,clean,dt2,-0.015529640916850966,30.72463768115942,32.090464547677264,144,40,43,61,2.6999999999999984
recall,0.4,787,clean,dt2,-0.015883782599729175,30.72463768115942,32.090464547677264,144,40,43,61,2.6999999999999984
linear,0.1,1180,clean,xgb,-0.02669329417845871,32.12814645308924,32.07823960880195,248,60,84,104,2.5999999999999996
geom,0.3,918,delta_clean,lgbm,-0.0090814008429154,32.09000762776507,32.07823960880195,274,70,99,105,2.6
linear,0.2,1049,clean,rf,-0.030852667832574503,32.0747520976354,32.06601466992665,210,55,67,88,2.5
linear,0.4,787,delta_clean,lgbm,0.021671235234454325,31.98321891685736,32.06601466992665,221,52,80,89,2.4999999999999982
linear,0.1,1180,delta_clean2,rf,0.007301811121133641,32.158657513348594,32.066014669926645,206,56,65,85,2.499999999999998
geom,0.4,787,delta_clean,xgb,0.06457269861351084,31.72387490465293,32.05378973105134,139,40,47,52,2.3999999999999995
geom,0.1,1180,delta_clean,rf,-0.0006764400297798243,31.96796338672769,32.04156479217604,231,59,79,93,2.299999999999999
geom,0.2,1049,delta_clean2,gbrt,0.014421771651276035,32.04424103737605,32.04156479217604,234,54,82,98,2.300000000000001
geom,0.3,918,delta_clean2,xgb,0.051543301560833435,30.961098398169334,32.02933985330073,140,40,44,56,2.1999999999999984
geom,0.4,787,clean,rf,-0.03089535546178771,32.09000762776507,32.02933985330073,226,60,73,93,2.199999999999999
recall,0.3,918,delta_clean,xgb,0.0758585914780822,31.7162471395881,32.02933985330073,110,31,38,41,2.1999999999999997
linear,0.0,1311,delta_clean2,gbrt,0.025706339274517997,32.11289092295957,32.01711491442543,211,54,67,90,2.1000000000000023
geom,0.0,1311,delta_clean2,gbrt,0.006496419760073967,32.06712433257056,32.01711491442543,249,59,90,100,2.1000000000000014
geom,0.3,918,clean,dt2,-0.028919552183239598,31.060259344012202,32.01711491442543,174,46,53,75,2.0999999999999983
recall,0.3,918,clean,dt2,-0.02991870130511403,31.060259344012202,32.01711491442543,174,46,53,75,2.0999999999999983
linear,0.1,1180,clean,rf,-0.0339273494141497,31.937452326468346,32.00488997555012,230,56,82,92,2.000000000000002
